,0,1
0,audio,133
1,sound,98
2,method,66
3,system,55
4,results,54
5,acoustic,54
6,spatial,44
7,proposed,36
8,loudspeakers,36
9,frequency,34
10,quality,34
11,design,33
12,test,33
13,source,32
14,music,31
15,model,31
16,systems,30
17,performance,30
18,virtual,30
19,one,30
20,listening,30
21,signal,29
22,binaural,28
23,loudspeaker,26
24,perceptual,26
25,two,26
26,hearing,26
27,microphone,26
28,methods,25
29,reproduction,25
30,listener,24
31,control,24
32,new,24
33,subjective,24
34,parameters,24
35,microphones,24
36,noise,24
37,sources,23
38,use,23
39,content,23
40,work,23
41,show,22
42,“,22
43,”,22
44,research,22
45,study,22
46,presented,22
47,provide,22
48,listeners,22
49,information,22
50,measurements,21
51,high,21
52,approach,21
53,effect,20
54,also,20
55,response,20
56,processing,20
57,algorithm,20
58,signals,20
59,array,19
60,compared,18
61,production,18
62,various,18
63,recordings,18
64,room,18
65,recording,18
66,multiple,18
67,auditory,17
68,applications,17
69,evaluation,17
70,low,17
71,process,16
72,number,16
73,hrtf,16
74,phase,16
75,sounds,16
76,time,16
77,several,15
78,filter,15
79,tool,15
80,position,15
81,field,15
82,devices,15
83,3d,15
84,range,14
85,present,14
86,level,14
87,measured,14
88,multichannel,14
89,driver,14
90,conducted,14
91,single,14
92,playback,14
93,reverberation,14
94,higher,14
95,perception,14
96,live,13
97,data,13
98,difference,13
99,presents,13
100,order,13
101,many,13
102,reality,13
103,directivity,13
104,may,13
105,location,13
106,nonlinear,13
107,three,13
108,set,13
109,rendering,13
110,channels,13
111,arrays,13
112,perceived,13
113,optimization,13
114,distribution,12
115,audience,12
116,within,12
117,however,12
118,due,12
119,analysis,12
120,speaker,12
121,speech,12
122,power,12
123,problem,12
124,accuracy,12
125,environment,12
126,experiments,12
127,media,12
128,performed,12
129,pressure,12
130,network,12
131,aims,11
132,comparison,11
133,significant,11
134,measurement,11
135,algorithms,11
136,voice,11
137,spectral,11
138,well,11
139,obtained,11
140,developed,11
141,functions,11
142,provides,11
143,service,11
144,original,11
145,designed,11
146,investigate,11
147,image,11
148,conditions,11
149,shows,11
150,large,10
151,simulations,10
152,determine,10
153,better,10
154,first,10
155,stimuli,10
156,via,10
157,preference,10
158,participants,10
159,allows,10
160,current,10
161,structure,10
162,important,10
163,propose,10
164,standard,10
165,video,10
166,head,10
167,introduced,10
168,physical,10
169,project,10
170,mix,10
171,made,10
172,tube,10
173,reference,10
174,gain,10
175,techniques,10
176,coding,10
177,input,10
178,immersive,10
179,features,10
180,part,10
181,elevation,10
182,technology,10
183,visual,10
184,objective,10
185,change,10
186,stereo,10
187,loudness,9
188,transfer,9
189,technique,9
190,models,9
191,impact,9
192,rate,9
193,describes,9
194,real,9
195,real-time,9
196,circuit,9
197,components,9
198,evaluated,9
199,future,9
200,improved,9
201,distortion,9
202,localization,9
203,requires,9
204,simulation,9
205,properties,9
206,experiment,9
207,tests,9
208,speakers,9
209,device,9
210,created,9
211,locations,9
212,ambisonics,9
213,applied,9
214,horizontal,9
215,acoustical,9
216,application,9
217,stimulus,9
218,students,9
219,series,9
220,levels,9
221,evaluate,9
222,punch,9
223,combined,8
224,improve,8
225,studies,8
226,found,8
227,function,8
228,databases,8
229,create,8
230,training,8
231,concept,8
232,proposes,8
233,given,8
234,implemented,8
235,experimental,8
236,achieve,8
237,linear,8
238,positions,8
239,vr,8
240,immersion,8
241,terms,8
242,musical,8
243,without,8
244,complex,8
245,per,8
246,digital,8
247,coefficients,8
248,could,8
249,characteristics,8
250,channel,8
251,horn,8
252,quantization,8
253,headphone,8
254,types,8
255,impedance,8
256,headphones,8
257,effects,8
258,platforms,8
259,including,8
260,often,7
261,practice,7
262,efficiency,7
263,loss,7
264,article,7
265,influence,7
266,compression,7
267,drc,7
268,less,7
269,10,7
270,learning,7
271,database,7
272,rates,7
273,fast,7
274,available,7
275,online,7
276,approaches,7
277,technologies,7
278,implementation,7
279,focus,7
280,changes,7
281,density,7
282,therefore,7
283,observed,7
284,user,7
285,panning,7
286,achieved,7
287,aim,7
288,even,7
289,hrtfs,7
290,measure,7
291,framework,7
292,experience,7
293,amplifier,7
294,object-based,7
295,adaptive,7
296,parameter,7
297,commonly,7
298,scene,7
299,required,7
300,environments,7
301,relative,7
302,length,7
303,mixing,7
304,novel,7
305,separation,7
306,2,7
307,cost,7
308,material,7
309,testing,7
310,must,7
311,detection,7
312,since,7
313,tested,7
314,classification,7
315,addition,7
316,potential,7
317,3,7
318,simple,7
319,independent,7
320,software,7
321,conventional,7
322,four,7
323,target,7
324,additional,7
325,described,7
326,prototype,7
327,possible,7
328,arbitrary,7
329,controlled,7
330,impression,7
331,augmented,7
332,practical,6
333,efficient,6
334,reducing,6
335,front,6
336,human,6
337,previous,6
338,preferences,6
339,cues,6
340,db,6
341,existing,6
342,across,6
343,modeling,6
344,estimated,6
345,accurate,6
346,filters,6
347,solutions,6
348,frequencies,6
349,guitar,6
350,background,6
351,configuration,6
352,tracking,6
353,interface,6
354,overall,6
355,differences,6
356,discusses,6
357,uses,6
358,reverberant,6
359,employs,6
360,interference,6
361,unit,6
362,varying,6
363,along,6
364,side,6
365,effective,6
366,around,6
367,shown,6
368,estimation,6
369,result,6
370,subjects,6
371,1,6
372,program,6
373,acoustics,6
374,decoding,6
375,reflections,6
376,platform,6
377,artifacts,6
378,integration,6
379,assistive,6
380,operating,6
381,requirements,6
382,area,6
383,numerical,6
384,demonstrate,6
385,investigates,6
386,ratings,6
387,9.1,6
388,formats,6
389,surround,6
390,space,6
391,distortions,6
392,rooms,6
393,significantly,6
394,arp,6
395,programs,6
396,factor,6
397,discussed,6
398,samples,6
399,threshold,6
400,continuous,6
401,output,6
402,increase,6
403,precision,6
404,neural,6
405,basis,6
406,convolutional,6
407,svd,6
408,modern,5
409,broadband,5
410,subwoofers,5
411,common,5
412,configurations,5
413,excess,5
414,generally,5
415,dataset,5
416,challenge,5
417,settings,5
418,e.g.,5
419,reconstruction,5
420,feature,5
421,harmonic,5
422,particular,5
423,combination,5
424,vibrato,5
425,individual,5
426,zone,5
427,total,5
428,matrix,5
429,points,5
430,optimal,5
431,need,5
432,estimate,5
433,modal,5
434,maximize,5
435,second,5
436,scenarios,5
437,goal,5
438,users,5
439,powerful,5
440,called,5
441,feedback,5
442,tools,5
443,recent,5
444,form,5
445,engineers,5
446,utilizes,5
447,responses,5
448,extracted,5
449,extension,5
450,conductance,5
451,extended,5
452,suggest,5
453,rendered,5
454,allowing,5
455,weight,5
456,mean,5
457,specific,5
458,audio-visual,5
459,useful,5
460,recorded,5
461,computer,5
462,benefit,5
463,development,5
464,university,5
465,4,5
466,directional,5
467,ideal,5
468,according,5
469,challenges,5
470,psychoacoustic,5
471,cases,5
472,yet,5
473,22.2,5
474,basic,5
475,small,5
476,spherical,5
477,preferred,5
478,selection,5
479,best,5
480,resistance,5
481,way,5
482,changing,5
483,enables,5
484,anechoic,5
485,least,5
486,flat-panel,5
487,reduce,5
488,synthesis,5
489,find,5
490,captured,5
491,directions,5
492,capture,5
493,variation,5
494,modes,5
495,correlation,5
496,resulting,5
497,much,5
498,asked,5
499,investigation,5
500,hoa,5
501,intensity,5
502,assess,5
503,resistors,5
504,networks,5
505,interaction,5
506,carried,5
507,controller,5
508,diffuse,5
509,concert,5
510,cross-correlation,5
511,principal,5
512,envelopment,5
513,absorption,5
514,energy,4
515,constraints,4
516,height,4
517,back,4
518,role,4
519,dynamic,4
520,tasks,4
521,head-related,4
522,size,4
523,sample,4
524,datasets,4
525,identification,4
526,all-pole,4
527,vocal,4
528,known,4
529,magnitude,4
530,validity,4
531,parametric,4
532,note,4
533,attention,4
534,stability,4
535,styles,4
536,contrast,4
537,panel,4
538,easy,4
539,wide,4
540,means,4
541,probability,4
542,improves,4
543,typically,4
544,amplitude,4
545,simulate,4
546,electronic,4
547,instrument,4
548,architecture,4
549,related,4
550,left,4
551,equal,4
552,additionally,4
553,recently,4
554,make,4
555,enabling,4
556,positive,4
557,designer,4
558,ability,4
559,amplifiers,4
560,moreover,4
561,matlab,4
562,obtain,4
563,spot,4
564,creating,4
565,off-axis,4
566,perceptually,4
567,addresses,4
568,setting,4
569,tracks,4
570,mvdr,4
571,beamforming,4
572,mixes,4
573,makes,4
574,radio,4
575,aids,4
576,computational,4
577,event,4
578,usage,4
