,0,1
0,None,30
1,University of York,11
2,University of Alcalá,10
3,AGH University of Science and Technology,9
4,International Audio Laboratories Erlangen,9
5,Technical University of Denmark,8
6,New York University,8
7,University of Rochester,8
8,University of Salford,7
9,Berklee College of Music,6
10,Samsung Research America,6
11,University of Surrey,6
12,Gdansk University of Technology,6
13,Fraunhofer Institute for Integrated Circuits IIS,6
14,Leibniz Universität Hannover,6
15,NHK Science & Technology Research Laboratories,6
16,RWTH Aachen University,5
17,Meyer Sound Laboratories,5
18,Queen Mary University London,5
19,Fraunhofer IIS,5
20,Politecnico di Milano,5
21,IRCAM,5
22,Harman International,5
23,Birmingham City University,5
24,L-Acoustics,5
25,Peking University,5
26,Beijing Institute of Technology,5
27,McGill University,4
28,University of California San Diego,4
29,Contralto Audio srl,4
30,Dolby Laboratories,4
31,Audio Precision,4
32,University of Southampton,4
33,University of Huddersfield,4
34,University of Derby,4
35,XPERI/DTS,4
36,"Institute of Acoustics, Chinese Academy of Sciences",4
37,Sony Corporation,4
38,National and Kapodistrian University of Athens,3
39,"HP, Inc.",3
40,Arup,3
41,RTS,3
42,,3
43,Queen Mary University of London,3
44,BBC Research and Development,3
45,University of Electro-Communications,3
46,Sharp Corporation,3
47,Gwangju Institute of Science and Technology,3
48,Nanjing University,3
49,Harman Becker Automotive Systems GmbH,3
50,Fraunhofer Institute for Silicon Technology ISIT,3
51,Samsung Electronics,3
52,Rensselear Polytechnic Institute,2
53,"Dolby Laboratories, Inc.",2
54,Ubisoft,2
55,"Magic Leap, Inc.",2
56,Genelec Oy,2
57,Les Paul Foundation,2
58,Riedel,2
59,Fraunhofer Institute for Digital Media Technology IDMT,2
60,University of Miami,2
61,Luleå University of Technology,2
62,Audio Builders Workshop,2
63,WKNY Radio,2
64,Belmont University,2
65,MathWorks,2
66,Tampere University of Technology,2
67,THX Ltd.,2
68,Anhalt University of Applied Sciences,2
69,HAW Hamburg,2
70,"Samsung Electronics Co., Ltd.",2
71,Naked Productions,2
72,Sennheiser,2
73,Walters Storyk Design Group,2
74,DELTA Soundworks,2
75,SoundChip,2
76,Flux Studios,2
77,University of Liege,2
78,Illusonic GmbH,2
79,University of Technology,2
80,ClearCom,2
81,Centrale-Supélec,2
82,Peter Mapp Associates,2
83,Montana State University,2
84,Microsoft,2
85,Stuttgart Media University,2
86,Central Sound at Arizona PBS,2
87,IATSE,2
88,NHK,2
89,Towson University,2
90,National Association of Broadcasters,2
91,Tufts University,2
92,RafterMarsh,2
93,PD Squared,2
94,Chinese Academy of Sciences,2
95,"iZotope, Inc.",2
96,CNRS-Musé de la Musique,2
97,SONA Co.,2
98,PDMI RAS,2
99,SPb Audio R&D,2
100,Lab,2
101,Shure Inc.,2
102,"Academy of Broadcasting Planning, SAPPRFT",2
103,Pliant Technologies,2
104,Abbey Road Studios,2
105,University of California Santa Barbara,2
106,Rensselaer Polytechnic Institute,2
107,Carnegie Mellon University,2
108,Indiana University,2
109,University of Technology Sydney,1
110,Keio University,1
111,CCRMA,1
112,Eventide Inc.,1
113,METAlliance,1
114,Owl Fiber Optics,1
115,Institute of Audio Research,1
116,New Audio Technology GmbH,1
117,University of Pittsburgh,1
118,Anderson Audio NY,1
119,"Clive Davis Institute of Recorded Music, New York University",1
120,Laboratory of Music Acoustics and Technology,1
121,Audio Piranha LLC,1
122,Purchase College,1
123,Gateway Mastering Studios,1
124,Huawei Technologies,1
125,Aalto University,1
126,"Sr Media Transport Architect, Broadcast Infrastructure & Technology, BEST Engineering",1
127,MAMMA BARRA,1
128,Sonasterio Studios,1
129,Beach Dynamics,1
130,Universidad Tecnologica de Chile INACAP,1
131,SABE Sonido,1
132,DirectOut GmbH,1
133,"DSP Concepts, Inc.",1
134,Thompson/Nomad Studios,1
135,"HP Labs., Inc.",1
136,Entercom.com,1
137,"Purdue School of Engineering and Technology, IUPUI",1
138,Aalborg University,1
139,Traffic Entertainment Group,1
140,MediaRooms Technology LLC,1
141,Quiethouse Recording,1
142,Fraunhofer USA Digital Media Technologies,1
143,Bongiovi Acoustics,1
144,igloo music,1
145,Swineshead Productions LLC,1
146,State University of New York Korea,1
147,Michael Brauer,1
148,Georg Neumann Berlin,1
149,Sennheiser Electronic,1
150,Eidos Montreal,1
151,EBB-consult,1
152,DPA Microphones,1
153,"Audio Product Manager, TSL Products",1
154,Audio Group,1
155,Shure Incorporated,1
156,"DamianL, Inc.",1
157,NPR,1
158,ORF,1
159,EBU,1
160,University of Massachusetts Lowell,1
161,Merging Technologies,1
162,DTV Audio Group,1
163,Edward Cherney Company,1
164,"Artificial Intelligence Research Center, Korea Electronics Technology Institute",1
165,Mega-Acoustic,1
166,"Manhattan Sound Technicians, Inc.",1
167,Clair Global,1
168,Live Sound International,1
169,CP Communications,1
170,Kansas City Kansas Community College,1
171,off-beat-open-hats recording & sound reinforcement,1
172,Bridge Sound and Stage,1
173,Powersoft S.P.A.,1
174,Dalbjorn Audio AB,1
175,McDSP,1
176,Waves,1
177,Jade Electronics Ltd,1
178,UMass Lowell,1
179,"International Audio Laboratories Erlangen, a joint institution of Universität Erlangen-Nürnberg and Fraunhofer IIS",1
180,Kludge Audio,1
181,Lawo AG,1
182,The Recording Academy,1
183,JetWave Wireless,1
184,Best Audio,1
185,EPFL,1
186,"Director of Engineering, iZotope",1
187,University of Porto,1
188,Tom Fine Audio Services,1
189,Soundtrack Film & Television,1
190,Saturday Night Live,1
191,Telos Systems/Omnia Audio,1
192,Samsung Electronics R&D,1
193,Institute UK,1
194,JRF Magnetic Sciences Inc,1
195,"Partner & Head of Production, CHAPTER",1
196,Northeast Radio Watch,1
197,Bakery Mastering,1
198,Google,1
199,Mix Messiah Productions,1
200,Source Sound VR,1
201,Skyline Entertainment and Publishing,1
202,Tool Shed Studios,1
203,Clean Wireless,1
204,DIY Recording Equipment,1
205,Hamburg University of Applied Sciences,1
206,University of Michigan,1
207,Osiris Studio,1
208,classical-discography.org,1
209,Alteros,1
210,David Griesinger Acoustics,1
211,Orange,1
212,AVA Networks,1
213,Sterling Sound,1
214,3D Sound Labs,1
215,Telos Alliance,1
216,South Seas Broadcasting Corp.,1
217,Audiokinetic,1
218,Richard L Hess,1
219,ALC NetworX GmbH,1
220,Crane Song Inc.,1
221,Dave Hill Designs,1
222,Yamaha R&D,1
223,Centre,1
224,Inveniem,1
225,Excelsior Audio,1
226,AFMG,1
227,Equity Sound Investments,1
228,GitarLive,1
