,0,1
0,USA,238
1,None,125
2,UK,71
3,Germany,66
4,Japan,30
5,China,23
6,Poland,18
7,France,16
8,Canada,13
9,Denmark,12
10,Switzerland,9
11,Spain,9
12,Italy,8
13,CA USA,7
14,Australia,6
15,Finland,6
16,Korea,6
17,Russia,5
18,Greece,3
19,Sweden,3
20,Belgium,2
21,CNRS-Sorbonne Université,2
22,Argentina,2
23,NY USA,2
24,ME USA,1
25,Chile,1
26,IT,1
27,Digital Media Solutions,1
28,IL USA,1
29,DC,1
30,Austrian TV,1
31,European Broadcasting Union,1
32,CT USA,1
33,Brazil,1
34,Rastatt Germany,1
35,Portugal,1
36,VA,1
37,American Samoa,1
38,Turkey,1
39,Pakistan,1
40,Netherlands,1
41,Netherlands.,1
42,Lithuania,1
43,Scandicci,1
44,New York / Havana,1
45,New York/Havana,1
46,Alcala de Henares,1
47,Austria,1
48,Parma,1
49,Appiano Gentile,1
50,NJ  USA,1
51,CA,1
52,Liechtenstein,1
53,New Zealand,1
54,NY,1
55,Chicago & NYC,1
56,NJ,1
57,MA,1
58,CNRS,1
59,WA,1
