,0,1
0,International Audio Laboratories Erlangen,7
1,University of York,5
2,University of Rochester,5
3,New York University,5
4,Technical University of Denmark,5
5,Queen Mary University of London,5
6,BBC Research and Development,4
7,University of Alcalá,4
8,AGH University of Science and Technology,4
9,Samsung Research America,4
10,University of Salford,3
11,Birmingham City University,3
12,University of Surrey,3
13,NHK Science & Technology Research Laboratories,3
14,Leibniz Universität Hannover,3
15,Magic Leap,2
16,Institute of Acoustics,2
17,XPERI/DTS,2
18,Fraunhofer Institute for Integrated Circuits IIS,2
19,Peking University,2
20,Hamburg University of Applied Sciences,2
21,Peter Mapp Associates,2
22,JBL/Harman Professional Solutions,2
23,Harman International,2
24,Belmont University,2
25,Stanford University,2
26,Audio Precision,2
27,University of Derby,2
28,University of Electro-Communications,2
29,RWTH Aachen University,2
30,Dolby Laboratories,2
31,University of Huddersfield,2
32,Gdansk University of Technology,2
33,L-Acoustics,1
34,University of Newcastle,1
35,University of Porto,1
36,University of Chinese Academy of Sciences,1
37,Electro-Harmonix / New Sensor Corporation,1
38,Carnegie Mellon University,1
39,IRCAM,1
40,CNRS-Musé de la Musique,1
41,Xperi/DTS,1
42,Google,1
43,University of Liege,1
44,Aalborg University,1
45,EBB-consult,1
46,DPA Microphones,1
47,Gwangju Institute of Science and Technology  (GIST),1
48,Artificial Intelligence Research Center,1
49,AES (Beijing) Science & Technology Co.,1
50,Austrian Academy of Sciences,1
51,SONA Co.,1
52,be Blue Co .,1
53,CNAM (CEDRIC),1
54,Orange Labs,1
55,IRCAM - CNRS,1
56,Japan Television Network Corporation,1
57,Sony Corporation,1
58,University of Oldenburg,1
59,Friedrich Alexander University,1
60,Towson University,1
61,Nanjing University,1
62,Rensselaer Polytechnic Institute,1
63,University of Pittsburgh,1
64,ONFUTURE Ltd.,1
65,Kyushu University,1
66,Evixar Inc.,1
67,University of Miami,1
68,Academy of Broadcasting Planning,1
69,Purdue School of Engineering and Technology,1
70,Wire Grind Audio,1
71,Arup,1
72,University of California San Diego,1
73,ARKAMYS,1
74,Fraunhofer Institute for Digital Media Technology IDMT,1
75,Fraunhofer Institute for Silicon Technology ISIT,1
76,Auckland University of Technology,1
77,Centrale-Supélec,1
78,3D Sound Labs,1
79,Clockworks Signal Processing LLC,1
80,Tufts University,1
81,Anhalt University of Applied Sciences,1
82,University of Maryland,1
83,DBK Associates and Labs,1
84,Presonus Audio Electronics-Worx Audio Technologies,1
85,PDMI RAS,1
86,Samsung Electronics Co.,1
87,Samsung Electronics R&D,1
88,Institute UK,1
89,SAATI,1
90,Meyer Sound Laboratories,1
91,Huawei Technologies,1
92,Genelec Oy,1
93,Tampere University of Technology,1
94,University of Technology Sydney,1
95,Quaid-i-Azam University,1
96,Stuttgart Media University,1
97,Eberhard Karls University Tübingen,1
98,McGill University,1
99,Klippel GmbH,1
100,National and Kapodistrian University of Athens,1
101,THX Ltd.,1
102,Abbey Road Studios,1
103,Rat Sound Systems,1
104,Contralto Audio srl,1
105,Harman Becker Automotive Systems GmbH,1
106,London College of Music,1
107,University of Westminster,1
108,Harman International Inc.,1
109,University of California Santa Barbara,1
110,City University of New York,1
111,Force Technology,1
112,BBC R&D,1
113,,1
114,TritonAudio.,1
115,Naked Productions,1
116,Universidad Tecnologica de Chile INACAP,1
117,Tianjin University,1
118,Aalto University,1
119,HP Labs.,1
120,HP,1
121,NTi Audio AG,1
122,Beach Dynamics,1
123,NTi Audio Inc.,1
124,SPb Audio R&D,1
125,Lab,1
126,David Griesinger Acoustics,1
127,University of Southampton,1
128,Illusonic GmbH,1
129,SCHOEPS GmbH,1
130,Beijing Institute of Technology,1
131,NHK Science and Technology Research Laboratories,1
132,Montana State University,1
133,Politecnico di Milano,1
134,Eventide,1
135,Vilnius University,1
136,Rensselear Polytechnic Institute,1
137,State University of New York Korea,1
138,Shinan Information & Communication Co.,1
139,Keio University,1
