,abstract,affiliation,authors,paper_type,subject,title
0,"Modern live loudspeaker systems consist of broadband sources, often using variable curvature line sources, combined with subwoofers. While it is common practice to fly the broadband sources to improve energy distribution in the audience, most subwoofer configurations remain ground-stacked because of practical constraints and alleged efficiency loss of flown configurations. This article aims at evaluating the efficiency of flown subwoofers for large audiences as compared to their ground-stacked counterparts. We use finite element simulations to determine the influence of several factors: baffling effect, trim height. We show that flown configurations remain efficient at the back of the venue while reducing the SPL excess at the front of the audience.","['L-Acoustics, Marcoussis, France']","['Corteel, Etienne', ' Coste Dombre, Hugo', ' Combet, Christophe', ' Horyn, Yoachim', ' Montignies, François']",Talk,Transducers,On the Efficiency of Flown vs. Ground Stacked Subwoofer Configurations
1,"Within the scope of the literature surrounding the Loudness War, the “louder is better” paradigm plays a cornerstone role in the motivation and also presumed justification for the continued use of hyper-compression. At the core of this assumption is the non-linearity of frequency response of the human auditory system first identified by Fletcher and Munson [11]. Previous research into listener preferences concerning hyper-compression has attempted to rationalize this production practice with audience expectations. The stimuli used in these studies have invariably been loudness normalized to remove loudness bias in audition so that only the perceptual cues of dynamic range compression (DRC) are under examination. The results of these studies have proven less than conclusive and varied. The research study presented herein examines the extent of influence the “louder is better” paradigm has on listener preferences via a direct comparison between listener preference tasks that present music that is loudness normalized and music that retains the level differentiation which is a by-product of the hyper-compression process. It was found that a level differential of 10 dB had a significant influence of listener preferences as opposed to the arguably weak perceptual cues of DRC.","['University of Newcastle, Callaghan, NSW, Australia']","['Taylor, Robert W.']",Talk,Perception,"Hyper-Compression in Music Production: Testing the ""Louder Is Better"" Paradigm"
2,"Binaural based machine learning applications generally require a large number of HRTF (Head-Related Transfer Function) measurements. However, building an HRTF database from measurements of a large number of participants can be a time-consuming and tedious process. An alternative method is to combine the data from different existing databases to create a large training dataset. This is a significant challenge due to the large difference in measurement angles, filter size, normalization schemes, and sample rates inherent in different databases. Consequently, training of some machine learning algorithms can be cumbersome, requiring significant trial and error with different data and settings. To facilitate convenient preparation of datasets, this paper presents a Matlab-based tool that allows researchers to prepare and consolidate various HRTF datasets across different databases in a robust and fast manner. The tool is available online: https://github.com/Benjamin-Tsui/HRTF_preprocessing","['University of York, York, UK']","['Tsui, Benjamin', ' Kearney, Gavin']",Poster,Spatial Audio,A Head-Related Transfer Function Database Consolidation Tool for High Variance Machine Learning Algorithms
3,"Magnitude-oriented approaches dominate the voice analysis front-ends of most current technologies addressing, e.g., speaker identification, speech coding/compression, and voice reconstruction and re-synthesis. A popular technique is all-pole vocal tract modeling. The phase response of all-pole models is known to be non-linear and highly dependent on the magnitude frequency response. In this paper we use a shift-invariant phase-related feature that is estimated from signal harmonics in order to study the impact of all-pole models on the phase structure of voiced sounds. We relate that impact to the phase structure that is found in natural voiced sounds to conclude on the physiological validity of the group delay of all-pole vocal tract modeling. Our findings emphasize that harmonic phase models are idiosyncratic, and this is important in speaker identification and in fostering the quality and naturalness of synthetic and reconstructed speech.","['University of Porto, Porto, Portugal']","['Ferreira, Aníbal']",Talk,Signal Processing,On the Physiological Validity of the Group Delay Response of All-Pole Vocal Tract Modeling
4,"Proportional Parametric Equalizers have been proposed as an efficient tool for accurate magnitude response control within defined constraints. In particular, a combination of shelving filters can be used to create a 3-band parametric equalizer or tone control with minimal processing overhead. This paper picks up on this concept, fully develops the filter control equations, and proposes a look up table based implementation of the dual-shelving filter design.","['Magic Leap, Inc., San Francisco, CA, USA']","['Audfray, Rémi', ' Jot, Jean-Marc', ' Dicker, Sam']",Talk,Signal Processing,Practical Realization of Dual-Shelving Filter Using Proportional Parametric Equalizers
5,"When instrumentalists perform with vibrato, they add a quasi-periodic frequency modulation to the note. Although this modulation is rarely purely sinusoidal, many methods for vibrato parameterization focus exclusively on the rate and depth of the frequency modulation, with less attention given to measuring how a performer’s vibrato changes over the course of a note. In this paper we interpret the vibrato trajectories as instantiations of a random process that can be characterized by an associated autocorrelation function and power spectral density. From these distributions, a coherence time can be estimated that describes the stability of the vibrato within a note. This metric can be used to characterize individual performers as well as for resynthesizing vibratos of different styles.","['University of Rochester, Rochester, NY, USA']","['Smith, Sarah R.', ' Bocko, Mark F.']",Talk,Acoustics and Signal Processing,A Statistical Metric for Stability in Instrumental Vibrato
6,"A vibrational contrast control method is proposed for two-dimensional audio display on a thin flat panel, which is based on maximizing the contrast of the average kinetic energy of the transverse motion between the radiated zone and the total zone. With the measured mobility matrix from the actuators to the measurement points, the optimal filter for each actuator is obtained based on the solutions of the maximization problem. The proposed method does not need to estimate both the natural frequencies and the modal shapes and therefore is easy to be implemented. Experimental results on an aluminum plate show that the proposed method can achieve high contrast level over a wide frequency range.","['Institute of Acoustics, Chinese Academy of Sciences, Beijing, China', ' University of Chinese Academy of Sciences, Beijing, China(See document for exact affiliation information.)']","['Li, Ziqing', ' Luo, Pingzhan', ' Zheng, Chengshi', ' Li, Xiaodong']",Talk,Applications in Audio,Vibrational Contrast Control for Local Sound Source Rendering on Flat Panel Loudspeakers
7,"We propose two new methods to classify guitar strings for automated tablature transcription using only monophonic audio. The first method estimates the linear regression of log-inharmonicities of guitar strings with respect to their pitches and assigns unseen notes to the strings whose means and variances maximize the probability of their measured inharmonicities. The second method, developed as a baseline, characterizes the inharmonicity distribution of each fretboard position as a normal probability density, and then similarly assigns unseen notes to the fretboard positions that maximize the likelihood of their observed inharmonicities. Results from the standard Real World Corpus of guitar recordings show that exploiting regressions generally improves accuracy compared to our baseline, while both achieve adequate performance in guitar-independent test scenarios.","['Electro-Harmonix / New Sensor Corporation, Brooklyn, NY, USA', ' Carnegie Mellon University, Pittsburgh, PA, USA(See document for exact affiliation information.)']","['Michelson, Jonathan', ' Stern, Richard', ' Sullivan, Thomas']",Talk,Applications in Audio,Automatic Guitar Tablature Transcription from Audio Using Inharmonicity Regression and Bayesian Classification
8,"The ultimate goal in virtual reality (VR) is to achieve complete immersion in terms of audio and video, where background music is typically included to keep users absorbed in a game or 360-video content. This paper explores a multichannel loudspeaker configuration to anchor the background music to the user’s viewpoint in VR. To that end, an evenly-spaced octagonal loudspeaker configuration is implemented in order to anchor the background music using head tracking data. The real-time panning is achieved through Vector-Base Amplitude Panning (VBAP). This paper also describes a demo interface built using the Oculus Rift in Unity and Max/MSP, as proof of concept.","['New York University, New York, NY, USA']","['Kim, Sungsoo', ' Sridhar, Sripathi']",Poster,Recording and Production,Stationary Music from Users' Viewpoint in VR Applications
9,"In order to simulate the Ondes Martenot, a classic electronic musical instrument, we aim to model its circuit using Port-Hamiltonian Systems (PHS). PHS have proven to be a powerful formalism to provide models of analog electronic circuits for audio applications, as they guarantee the stability of simulations, even in the case of non-linear systems. However, some systems cannot be converted directly into PHS because their architecture cause what are called realizability conflicts. The Ondes Martenot circuit is one of those systems. In this paper a method is introduced to resolve such conflicts automatically: problematic components are replaced by equivalent components without altering the overall structure nor the content of the modeled physical system.","['IRCAM, Paris, France', ' CNRS-Musé de la Musique, Paris, France(See document for exact affiliation information.)']","['Najnudel, Judy', ' Hélie, Thomas', ' Boutin, Henri', ' Roze, David', ' Maniguet, Thierry', ' Vaiedelich, Stéphane']",Talk,Signal Processing,Analog Circuits and Port-Hamiltonian Realizability Issues: A Resolution Method for Simulations via Equivalent Components
