,0,1
0,USA,247
1,None,125
2,UK,71
3,Germany,66
4,Japan,30
5,China,23
6,Poland,18
7,France,16
8,Canada,13
9,Denmark,12
10,Switzerland,9
11,Spain,9
12,Italy,8
13,Australia,6
14,Finland,6
15,Korea,6
16,Russia,5
17,Greece,3
18,Sweden,3
19,Belgium,2
20,CNRS-Sorbonne Université,2
21,Argentina,2
22,ME USA,1
23,Chile,1
24,IT,1
25,Digital Media Solutions,1
26,IL USA,1
27,DC,1
28,Austrian TV,1
29,European Broadcasting Union,1
30,CT USA,1
31,Brazil,1
32,Rastatt Germany,1
33,Portugal,1
34,VA,1
35,American Samoa,1
36,Turkey,1
37,Pakistan,1
38,Netherlands,1
39,Netherlands.,1
40,Lithuania,1
41,Scandicci,1
42,New York / Havana,1
43,New York/Havana,1
44,Alcala de Henares,1
45,Austria,1
46,Parma,1
47,Appiano Gentile,1
48,NJ  USA,1
49,CA,1
50,Liechtenstein,1
51,New Zealand,1
52,NY,1
53,Chicago & NYC,1
54,NJ,1
55,MA,1
56,CNRS,1
57,WA,1
