,0,1
0,None,30
1,University of York,11
2,University of Alcalá,10
3,AGH University of Science and Technology,9
4,International Audio Laboratories Erlangen,9
5,Technical University of Denmark,8
6,Queen Mary University of London,8
7,New York University,8
8,University of Rochester,8
9,Meyer Sound Laboratories,7
10,University of Salford,7
11,Berklee College of Music,6
12,"Dolby Laboratories, Inc.",6
13,Samsung Research America,6
14,University of Surrey,6
15,Gdansk University of Technology,6
16,Fraunhofer Institute for Integrated Circuits IIS,6
17,Leibniz Universität Hannover,6
18,NHK Science & Technology Research Laboratories,6
19,RWTH Aachen University,5
20,Fraunhofer IIS,5
21,Politecnico di Milano,5
22,IRCAM,5
23,Harman International,5
24,Birmingham City University,5
25,L-Acoustics,5
26,Peking University,5
27,Beijing Institute of Technology,5
28,McGill University,4
29,University of California San Diego,4
30,Contralto Audio srl,4
31,Audio Precision,4
32,University of Southampton,4
33,University of Huddersfield,4
34,BBC Research and Development,4
35,University of Derby,4
36,XPERI/DTS,4
37,"Institute of Acoustics, Chinese Academy of Sciences",4
38,Sony Corporation,4
39,National and Kapodistrian University of Athens,3
40,"HP, Inc.",3
41,Arup,3
42,RTS,3
43,,3
44,University of Electro-Communications,3
45,Sharp Corporation,3
46,Gwangju Institute of Science and Technology,3
47,Nanjing University,3
48,Harman Becker Automotive Systems GmbH,3
49,Fraunhofer Institute for Silicon Technology ISIT,3
50,Samsung Electronics,3
51,Rensselear Polytechnic Institute,2
52,Ubisoft,2
53,"Magic Leap, Inc.",2
54,Genelec Oy,2
55,Les Paul Foundation,2
56,Riedel,2
57,Fraunhofer Institute for Digital Media Technology IDMT,2
58,University of Miami,2
59,Luleå University of Technology,2
60,Audio Builders Workshop,2
61,WKNY Radio,2
62,Belmont University,2
63,MathWorks,2
64,Tampere University of Technology,2
65,THX Ltd.,2
66,Anhalt University of Applied Sciences,2
67,HAW Hamburg,2
68,"Samsung Electronics Co., Ltd.",2
69,Naked Productions,2
70,Sennheiser,2
71,Walters Storyk Design Group,2
72,DELTA Soundworks,2
73,SoundChip,2
74,Flux Studios,2
75,University of Liege,2
76,Illusonic GmbH,2
77,University of Technology,2
78,ClearCom,2
79,Centrale-Supélec,2
80,Peter Mapp Associates,2
81,Montana State University,2
82,Microsoft,2
83,Centre for Interdisciplinary Research in Music Media and Technology,2
84,Stuttgart Media University,2
85,Central Sound at Arizona PBS,2
86,IATSE,2
87,NHK,2
88,Towson University,2
89,National Association of Broadcasters,2
90,Tufts University,2
91,RafterMarsh,2
92,PD Squared,2
93,Chinese Academy of Sciences,2
94,"iZotope, Inc.",2
95,CNRS-Musé de la Musique,2
96,SONA Co.,2
97,PDMI RAS,2
98,SPb Audio R&D,2
99,Lab,2
100,Shure Inc.,2
101,"Academy of Broadcasting Planning, SAPPRFT",2
102,Pliant Technologies,2
103,Abbey Road Studios,2
104,University of California Santa Barbara,2
105,Rensselaer Polytechnic Institute,2
106,Carnegie Mellon University,2
107,Indiana University,2
108,University of Technology Sydney,1
109,Keio University,1
110,CCRMA,1
111,Eventide Inc.,1
112,METAlliance,1
113,Owl Fiber Optics,1
114,Institute of Audio Research,1
115,New Audio Technology GmbH,1
116,University of Pittsburgh,1
117,Anderson Audio NY,1
118,"Clive Davis Institute of Recorded Music, New York University",1
119,Laboratory of Music Acoustics and Technology,1
120,Audio Piranha LLC,1
121,Purchase College,1
122,Gateway Mastering Studios,1
123,Huawei Technologies,1
124,Aalto University,1
125,"Sr Media Transport Architect, Broadcast Infrastructure & Technology, BEST Engineering",1
126,MAMMA BARRA,1
127,Sonasterio Studios,1
128,Beach Dynamics,1
129,Universidad Tecnologica de Chile INACAP,1
130,SABE Sonido,1
131,DirectOut GmbH,1
132,"DSP Concepts, Inc.",1
133,Thompson/Nomad Studios,1
134,"HP Labs., Inc.",1
135,Entercom.com,1
136,"Purdue School of Engineering and Technology, IUPUI",1
137,Aalborg University,1
138,Traffic Entertainment Group,1
139,MediaRooms Technology LLC,1
140,Quiethouse Recording,1
141,Fraunhofer USA Digital Media Technologies,1
142,Bongiovi Acoustics,1
143,igloo music,1
144,Swineshead Productions LLC,1
145,State University of New York Korea,1
146,Michael Brauer,1
147,Georg Neumann Berlin,1
148,Sennheiser Electronic,1
149,Eidos Montreal,1
150,EBB-consult,1
151,DPA Microphones,1
152,"Audio Product Manager, TSL Products",1
153,Audio Group,1
154,Shure Incorporated,1
155,"DamianL, Inc.",1
156,NPR,1
157,ORF,1
158,EBU,1
159,University of Massachusetts Lowell,1
160,Merging Technologies,1
161,DTV Audio Group,1
162,Edward Cherney Company,1
163,"Artificial Intelligence Research Center, Korea Electronics Technology Institute",1
164,Mega-Acoustic,1
165,"Manhattan Sound Technicians, Inc.",1
166,Clair Global,1
167,Live Sound International,1
168,CP Communications,1
169,Kansas City Kansas Community College,1
170,off-beat-open-hats recording & sound reinforcement,1
171,Bridge Sound and Stage,1
172,Powersoft S.P.A.,1
173,Dalbjorn Audio AB,1
174,McDSP,1
175,Waves,1
176,Jade Electronics Ltd,1
177,UMass Lowell,1
178,"International Audio Laboratories Erlangen, a joint institution of Universität Erlangen-Nürnberg and Fraunhofer IIS",1
179,Kludge Audio,1
180,Lawo AG,1
181,The Recording Academy,1
182,JetWave Wireless,1
183,Best Audio,1
184,EPFL,1
185,"Director of Engineering, iZotope",1
186,University of Porto,1
187,Tom Fine Audio Services,1
188,Soundtrack Film & Television,1
189,Saturday Night Live,1
190,Telos Systems/Omnia Audio,1
191,Samsung Electronics R&D,1
192,Institute UK,1
193,JRF Magnetic Sciences Inc,1
194,"Partner & Head of Production, CHAPTER",1
195,Northeast Radio Watch,1
196,Bakery Mastering,1
197,Google,1
198,Mix Messiah Productions,1
199,Source Sound VR,1
200,Skyline Entertainment and Publishing,1
201,Tool Shed Studios,1
202,Clean Wireless,1
203,DIY Recording Equipment,1
204,Hamburg University of Applied Sciences,1
205,University of Michigan,1
206,Osiris Studio,1
207,classical-discography.org,1
208,Alteros,1
209,David Griesinger Acoustics,1
210,Orange,1
211,AVA Networks,1
212,Sterling Sound,1
213,3D Sound Labs,1
214,Telos Alliance,1
215,South Seas Broadcasting Corp.,1
216,Audiokinetic,1
217,Richard L Hess,1
218,ALC NetworX GmbH,1
219,Crane Song Inc.,1
220,Dave Hill Designs,1
221,Yamaha R&D,1
222,Centre,1
223,Inveniem,1
224,Excelsior Audio,1
225,AFMG,1
226,Equity Sound Investments,1
227,GitarLive,1
