,affiliation_locations,affiliation_names,first_name,last_name
0,"['Sydney, NSW, Australia']",['University of Technology Sydney'],Muhammad,Abu ul Fazal
1,"['Yokohama-shi, Kanagawa, Japan']",['Keio University'],Shuichi,Adachi
2,"['Montreal, Quebec, Canada', 'Stanford, CA, USA']","['McGill University', 'CCRMA']",Yuval,Adler
3,"['San Diego, CA, USA']",['University of California San Diego'],Tahereh,Afghah
4,"['Kgs. Lyngby, Denmark']",['Technical University of Denmark'],Finn,Agerkvist
5,"['Little Ferry, NJ, USA']",['Eventide Inc.'],Anthony,Agnello
6,"['Troy, NY, USA']",['Rensselear Polytechnic Institute'],Sarvesh,Agrawal
7,"['Nashville, Tennessee, USA']",['METAlliance'],Chuck,Ainlay
8,"['Flushing, NY, USA', 'New York, NY, USA']","['Owl Fiber Optics', 'Institute of Audio Research']",Ronald,Ajemian
9,['None'],['Berklee College of Music'],Prince,Alexander
10,"['San Francisco, CA, USA']","['Dolby Laboratories, Inc.']",Ioan,Allen
11,"['Hamburg, Germany']",['New Audio Technology GmbH'],Tom,Ammermann
12,"['Kgs. Lyngby, Denmark']",['Technical University of Denmark'],Michael,Andersen
13,"['Pittsburgh, PA, USA']",['University of Pittsburgh'],David,Anderson
14,"['New York, NY, USA', 'New York, NY, USA']","['Anderson Audio NY', 'Clive Davis Institute of Recorded Music, New York University']",Jim,Anderson
15,['None'],['Laboratory of Music Acoustics and Technology'],Areti,Andreopoulou
16,"['Quebec city, Canada']",['Ubisoft'],lydia,andrew
17,"['Athens, Greece']",['National and Kapodistrian University of Athens'],Evangelos,Angelakis
18,"['Aachen, Germany']",['RWTH Aachen University'],Christiane,Antweiler
19,['None'],['None'],Rafael,Arcaute
20,"['York, UK']",['University of York'],Calum,Armstrong
21,"['Berkeley, CA, USA']",['Meyer Sound Laboratories'],Jon,Arneson
22,"['Brooklyn, NY, USA', 'Purchase, NY, USA']","['Audio Piranha LLC', 'Purchase College']",Pablo,Arraya
23,"['San Francisco, CA, USA']","['Magic Leap, Inc.']",Rémi,Audfray
24,"['Portland, ME USA']",['Gateway Mastering Studios'],Adam,Ayan
25,"['Tampere, Finland', 'Iisalmi, Finland']","['Huawei Technologies', 'Genelec Oy']",Juha,Backman
26,"['Espoo, Finland']",['Aalto University'],Tom,Bäckström
27,['None'],"['Sr Media Transport Architect, Broadcast Infrastructure & Technology, BEST Engineering']",Bob,Baker
28,['None'],['Les Paul Foundation'],Sue,Baker
29,['None'],['None'],Matthew,Ballos
30,"['Boston, MA, USA', 'None']","['Berklee College of Music', 'MAMMA BARRA']",Erin,Barra
31,['None'],['Sonasterio Studios'],Bruno,Barros
32,"['London, UK']",['Queen Mary University London'],Mathieu,Barthet
33,"['Cincinnati, OH, USA']",['Beach Dynamics'],Mark,Beach
34,['None'],['None'],Frank,Beacham
35,"['Santiago de Chile, Chile', 'None']","['Universidad Tecnologica de Chile INACAP', 'SABE Sonido']",Cristian,Becerra Benítez
36,"['Mittweida, Germany']",['DirectOut GmbH'],Claudio,Becker-Foss
37,"['Santa Clara, CA USA']","['DSP Concepts, Inc.']",Paul,Beckmann
38,['None'],['Riedel'],David,Beckwith
39,"['Ilmenau, Germany']",['Fraunhofer Institute for Digital Media Technology IDMT'],Daniel,Beer
40,['None'],['None'],Michael,Beinhorn
41,"['New York, NY, USA']",['Thompson/Nomad Studios'],Louis,Benedetti
42,"['Coral Gables, FL, USA']",['University of Miami'],Christopher,Bennett
43,"['Erlangen, Germany']",['Fraunhofer IIS'],Ane,Berasategui Ceberio
44,"['Vancouver, WA, USA']","['HP, Inc.']",David,Berfanger
45,"['Piteå, Sweden']",['Luleå University of Technology'],Jan,Berg
46,"['Aachen, Germany']",['RWTH Aachen University'],Marco,Berzborn
47,"['New York, NY, USA']",['New York University'],Tom,Beyer
48,"['Valencia, CA USA']",['Samsung Research America'],Andri,Bezzola
49,"['San Francisco, CA, USA']","['HP Labs., Inc.']",Sunil,Bharitkar
50,"['New York, NY, USA']",['Entercom.com'],David,Bialik
51,"['Indianapolis, IN, USA']","['Purdue School of Engineering and Technology, IUPUI']",Doug,Bielmeier
52,"['Copenhagen, Denmark']",['Aalborg University'],Francesco,Bigoni
53,"['Somerville, MA, USA']",['Traffic Entertainment Group'],Jason,Bitner
54,"['New York, NY, USA']",['New York University'],Rachel,Bittner
55,"['Ventura, CA, USA']",['MediaRooms Technology LLC'],Bruce,Black
56,"['Bedford, MA, USA', 'Boston, MA, USA']","['Quiethouse Recording', 'Audio Builders Workshop']",Dereck,Blackburn
57,"['San Jose, CA, USA']",['Fraunhofer USA Digital Media Technologies'],Robert,Bleidt
58,"['New York, NY, USA']",['Arup'],Nathan,Blum
59,"['Rochester, NY, USA']",['University of Rochester'],Mark,Bocko
60,['None'],['None'],Niko,Bolas
61,"['Milano, IT']",['Politecnico di Milano'],Luca,Bondi
62,['None'],['Bongiovi Acoustics'],Tony,Bongiovi
63,"['Burbank, CA, USA']",['igloo music'],Gustavo,Borner
64,"['Paris, France']",['IRCAM'],Henri,Boutin
65,"['Berkeley, CA, USA']",['Swineshead Productions LLC'],David,Bowles
66,"['Troy, NY, USA']",['Rensselear Polytechnic Institute'],Jonas,Braasch
67,"['Shinan ICT, Incheon, Korea']",['State University of New York Korea'],Cornelius,Bradter
68,"['New York, NY, USA']",['Michael Brauer'],Michael,Brauer
69,['None'],['Les Paul Foundation'],Michael,Braunstein
70,"['Berlin, Germany', 'Wedemark, Germany']","['Georg Neumann Berlin', 'Sennheiser Electronic']",Jürgen,Breitlow
71,"['Montreal, Canada']",['Eidos Montreal'],Rob,Bridgett
